Number,State,Value,Param dt_criterion,Param dt_max_depth,Param dt_max_features,Param dt_min_samples_leaf,Param dt_min_samples_split,Param dt_splitter,Param encoder_type,Param model,Param rf_bootstrap,Param rf_max_depth,Param rf_max_features,Param rf_min_samples_leaf,Param rf_min_samples_split,Param rf_n_estimators,Param xgb_colsample_bytree,Param xgb_gamma,Param xgb_learning_rate,Param xgb_max_depth,Param xgb_min_child_weight,Param xgb_n_estimators,Param xgb_reg_alpha,Param xgb_reg_lambda,Param xgb_subsample
44,COMPLETE,0.9250706134890678,,,,,,,Target,RandomForest,False,24,sqrt,3,8,500,,,,,,,,,
45,COMPLETE,0.928674879503388,,,,,,,Target,RandomForest,False,46,sqrt,1,6,350,,,,,,,,,
46,COMPLETE,0.923028885283616,,,,,,,Count,RandomForest,False,47,sqrt,1,6,200,,,,,,,,,
47,COMPLETE,0.9231204570217871,,,,,,,Freq,RandomForest,False,46,sqrt,1,6,300,,,,,,,,,
48,COMPLETE,0.7844324306490261,squared_error,24,sqrt,3,6,random,Target,DecisionTree,,,,,,,,,,,,,,,
49,COMPLETE,0.9187212186716769,,,,,,,Target,RandomForest,True,45,log2,1,10,350,,,,,,,,,
50,COMPLETE,0.9256764027039658,,,,,,,Target,RandomForest,False,39,sqrt,2,9,450,,,,,,,,,
51,COMPLETE,0.9257740096587058,,,,,,,Target,RandomForest,False,34,sqrt,2,8,400,,,,,,,,,
52,COMPLETE,0.8590644467048717,,,,,,,Target,RandomForest,False,6,sqrt,2,8,500,,,,,,,,,
53,COMPLETE,0.9174028781267317,,,,,,,Target,RandomForest,True,48,sqrt,3,7,350,,,,,,,,,
54,COMPLETE,0.9243403283861608,,,,,,,Target,RandomForest,False,33,log2,2,5,250,,,,,,,,,
55,COMPLETE,0.927562160897125,,,,,,,Target,RandomForest,False,37,sqrt,1,9,450,,,,,,,,,
56,COMPLETE,0.9273198208698701,,,,,,,Target,RandomForest,False,45,sqrt,1,9,300,,,,,,,,,
57,COMPLETE,0.9081800652404404,,,,,,,Count,RandomForest,True,44,,1,9,250,,,,,,,,,
58,COMPLETE,0.8054901177964401,friedman_mse,50,log2,1,2,best,Target,DecisionTree,,,,,,,,,,,,,,,
59,COMPLETE,0.927666249005426,,,,,,,Target,RandomForest,False,49,sqrt,1,9,550,,,,,,,,,
60,COMPLETE,0.9124373575515676,,,,,,,Target,XGBoost,,,,,,,0.8749064647199856,0.002178923876385408,0.08873048415164983,5,7.123860475643306,350,1.1877436057090337e-05,0.23904907089521865,0.6674416133293085
61,COMPLETE,0.9272340711942263,,,,,,,Target,RandomForest,False,50,sqrt,1,9,550,,,,,,,,,
